Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell AI5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure (Column C 
Items 6 - Item 11)",
Aug17,8,2017,San Diego,37,2017-18,2017,0,3199,899,4098,808,3290,3112,*,3103,3121,18,3103,941672,941420,252,3994,937678,48,48,48,0,91,48,48,0,161944,161944,0,779728,
Aug17,8,2017,San Francisco,38,2017-18,2017,-18,4144,646,4790,661,4129,4821,*,4813,4829,16,4813,1902109,1761775,140334,3773,1898336,78,78,78,0,113,78,78,0,420694,420694,0,1481415,
Aug17,8,2017,San Joaquin,39,2017-18,2017,0,716,270,986,213,773,1024,*,1017,1031,14,1017,135657,5984,129673,1522,134135,14,0,0,14,*,15,14,*,45665,43971,1694,89992,
Aug17,8,2017,San Luis Obispo,40,2017-18,2017,0,209,65,274,72,202,273,0,273,273,0,273,73679,73536,143,0,73679,55,19,19,0,21,19,19,0,78620,78620,0,-4941,
Aug17,8,2017,San Mateo,41,2017-18,2017,0,335,55,390,63,327,414,0,414,414,0,414,134884,31670,103214,0,134884,*,*,*,0,0,*,*,0,8003,8003,0,126881,
Aug17,8,2017,Santa Barbara,42,2017-18,2017,*,312,164,476,151,325,472,*,471,473,*,471,56179,34006,22173,207,55972,29,*,*,0,22,*,*,*,8871,8636,235,47308,
Aug17,8,2017,Santa Clara,43,2017-18,2017,*,2892,774,3666,831,2835,3656,16,3640,3672,32,3640,665224,513664,151560,43561,621663,16,21,21,0,42,21,21,0,27163,27163,0,638061,
Aug17,8,2017,Santa Cruz,44,2017-18,2017,0,234,97,331,62,269,249,*,245,253,*,245,58099,58099,0,958,57141,97,*,*,0,*,0,0,0,1329,973,356,56770,
Aug17,8,2017,Shasta,45,2017-18,2017,0,254,54,308,54,254,282,0,282,282,0,282,83916,83916,0,0,83916,0,11,11,0,11,*,*,*,54392,52034,2358,29524,
Aug17,8,2017,Sierra,46,2017-18,2017,0,*,*,*,0,*,*,0,*,*,0,*,581,302,279,0,581,*,0,0,0,0,*,0,*,1353,0,1353,-772,
